City,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Atuona,-9.8,-139.0333,78.1,69,23,15.43,PF,1635413937
Butaritari,3.0707,172.7902,81.3,73,100,4.99,KI,1635413724
Pasni,25.2631,63.471,80.2,57,0,10.51,PK,1635413889
Mataura,-46.1927,168.8643,54.41,82,94,2.53,NZ,1635413691
Nanortalik,60.1432,-45.2371,33.84,77,76,6.96,GL,1635413795
São João da Barra,-21.6403,-41.0511,71.69,85,97,8.25,BR,1635413938
Rikitea,-23.1203,-134.9692,73.35,81,16,4.72,PF,1635413694
Vaini,-21.2,-175.2,73.56,88,20,6.91,TO,1635413739
Cidreira,-30.1811,-50.2056,68.85,90,6,12.44,BR,1635413689
Hithadhoo,-0.6,73.0833,82.08,75,96,17.96,MV,1635413938
Xingyi,24.1877,102.817,62.08,86,98,3.51,CN,1635413938
Hong Kong,22.2855,114.1577,79.97,76,22,7.0,HK,1635413782
Laas,46.6166,10.7002,45.34,24,7,4.47,IT,1635413939
Ushuaia,-54.8,-68.3,47.86,49,0,16.11,AR,1635413775
Soubre,5.7856,-6.6083,80.85,77,77,1.88,CI,1635413939
Khatanga,71.9667,102.5,-3.03,98,100,2.91,RU,1635413939
São Filipe,14.8961,-24.4956,79.21,74,39,10.07,CV,1635413940
Cape Town,-33.9258,18.4232,75.09,46,40,4.0,ZA,1635413840
Provideniya,64.3833,-173.3,14.45,87,100,5.21,RU,1635413940
Geraldton,-28.7667,114.6,68.41,49,75,17.27,AU,1635413941
Tuktoyaktuk,69.4541,-133.0374,27.21,92,100,5.35,CA,1635413941
Bredasdorp,-34.5322,20.0403,70.92,68,40,5.75,ZA,1635413941
Jamestown,42.097,-79.2353,43.07,97,1,3.0,US,1635413942
Makkah al Mukarramah,21.4267,39.8261,92.75,33,83,10.67,SA,1635413943
Merauke,-8.4667,140.3333,84.61,75,97,18.32,ID,1635413943
Borova,50.1763,30.1043,53.51,66,100,13.76,UA,1635413943
Kokoda,-8.8785,147.7407,76.26,96,96,2.66,PG,1635413944
Sarangani,5.4033,125.4636,84.24,74,41,15.97,PH,1635413687
Olavarría,-36.8927,-60.3225,67.01,67,98,7.49,AR,1635413944
Lüderitz,-26.6481,15.1594,67.77,64,87,10.18,NA,1635413945
Chokurdakh,70.6333,147.9167,-7.71,95,48,3.96,RU,1635413945
Dali,25.7,100.1833,63.84,79,18,5.41,CN,1635413945
Severo-Kuril'sk,50.6789,156.125,42.33,89,55,4.38,RU,1635413938
Turukhansk,65.8167,87.9833,9.45,97,100,4.54,RU,1635413946
Tiarei,-17.5333,-149.3333,77.02,80,31,9.4,PF,1635413811
Wenling,28.3669,121.36,65.14,73,65,9.31,CN,1635413946
Riyadh,24.6877,46.7219,93.34,10,26,14.65,SA,1635413732
Petropavlovsk-Kamchatskiy,53.0452,158.6483,36.19,81,75,2.24,RU,1635413947
Albany,42.6001,-73.9662,41.31,91,92,3.13,US,1635413947
Sechelt,49.4664,-123.7694,49.08,92,100,6.89,CA,1635413947
Atambua,-9.1061,124.8925,80.82,71,100,2.24,ID,1635413766
Qaanaaq,77.484,-69.3632,22.24,93,100,7.7,GL,1635413774
Dikson,73.5069,80.5464,2.59,95,65,6.58,RU,1635413765
Hermanus,-34.4187,19.2345,68.81,71,48,10.98,ZA,1635413948
Punta Arenas,-53.15,-70.9167,44.71,76,0,13.8,CL,1635413775
Mar del Plata,-38.0023,-57.5575,57.22,100,26,5.75,AR,1635413948
Hilo,19.7297,-155.09,70.25,81,90,5.75,US,1635413820
Nador,35.174,-2.9287,68.07,72,40,5.75,MA,1635413949
Ambilobe,-13.2,49.05,90.23,42,45,13.82,MG,1635413950
Ponta Delgada,37.7333,-25.6667,68.72,77,20,12.66,PT,1635413950
Zinder,13.8072,8.9881,93.16,21,0,11.5,NE,1635413950
Pisco,-13.7,-76.2167,58.01,88,0,2.3,PE,1635413951
Yellowknife,62.456,-114.3525,36.41,100,90,3.44,CA,1635413951
New Norfolk,-42.7826,147.0587,49.71,78,100,3.71,AU,1635413743
Norman Wells,65.282,-126.8329,21.24,93,90,3.44,CA,1635413952
Lebu,-37.6167,-73.65,49.5,94,13,12.41,CL,1635413952
Turiaçu,-1.6633,-45.3717,77.27,89,30,3.8,BR,1635413952
Scarborough,54.2797,-0.4044,60.08,82,52,7.0,GB,1635413953
Edd,13.9297,41.6925,95.68,32,15,16.26,ER,1635413953
Castro,-24.7911,-50.0119,61.66,96,100,6.53,BR,1635413953
Ust'-Karsk,52.7011,118.8077,39.25,65,81,1.59,RU,1635413954
Oktyabr'skoye,43.0645,44.7417,55.35,38,0,6.71,RU,1635413954
Longyearbyen,78.2186,15.6401,15.64,79,20,4.61,SJ,1635413954
Hasaki,35.7333,140.8333,63.0,57,9,23.29,JP,1635413955
Iaciara,-14.0958,-46.6317,76.69,53,12,3.94,BR,1635413955
Baruun-Urt,46.6806,113.2792,44.67,35,0,10.18,MN,1635413955
Port Alfred,-33.5906,26.891,79.86,58,100,18.54,ZA,1635413955
San Cristobal,7.7669,-72.225,65.73,98,100,0.92,VE,1635413956
Champerico,14.3,-91.9167,83.35,87,79,4.79,GT,1635413956
Hambantota,6.1241,81.1185,88.14,74,75,3.44,LK,1635413956
Aykhal,66.0,111.5,8.94,93,100,21.41,RU,1635413883
Thomaston,32.8882,-84.3266,57.09,92,40,3.0,US,1635413957
Lashio,22.9333,97.75,72.57,92,12,1.99,MM,1635413957
Torbay,47.6666,-52.7314,39.58,83,90,17.27,CA,1635413958
Busselton,-33.65,115.3333,57.04,56,93,12.91,AU,1635413958
Yangi Marg`ilon,40.4272,71.7189,58.42,44,100,9.22,UZ,1635413958
Lompoc,34.6391,-120.4579,65.12,80,1,4.61,US,1635413831
Shingū,33.7333,135.9833,67.19,74,0,7.58,JP,1635413959
Samarai,-10.6167,150.6667,82.76,78,66,10.89,PG,1635413959
Sitka,57.0531,-135.33,37.29,87,20,5.75,US,1635413783
Cherskiy,68.75,161.3,-17.61,96,84,4.81,RU,1635413959
Grand Gaube,-20.0064,57.6608,81.0,63,17,11.99,MU,1635413960
Swift Current,50.2834,-107.8014,36.41,64,1,20.71,CA,1635413960
Najrān,17.4924,44.1277,86.65,14,66,12.5,SA,1635413960
Ilulissat,69.2167,-51.1,12.22,57,96,2.3,GL,1635413929
Umm Kaddadah,13.6017,26.6876,93.11,10,5,8.72,SD,1635413961
Malanje,-9.5402,16.341,71.98,88,75,2.3,AO,1635413961
Caravelas,-17.7125,-39.2481,76.98,74,27,10.04,BR,1635413819
Arraial do Cabo,-22.9661,-42.0278,73.36,94,75,5.75,BR,1635413959
Honggang,46.4667,124.8667,46.85,44,0,7.9,CN,1635413961
Aswān,24.0934,32.907,96.01,15,2,8.37,EG,1635413962
Hobart,-42.8794,147.3294,50.05,87,75,1.99,AU,1635413962
Christchurch,-43.5333,172.6333,55.02,89,90,1.01,NZ,1635413908
Ponta do Sol,32.6667,-17.1,73.71,63,18,1.68,PT,1635413963
Grindavik,63.8424,-22.4338,39.67,93,0,16.11,IS,1635413963
Port Elizabeth,-33.918,25.5701,85.1,83,0,4.61,ZA,1635413705
Tateyama,34.9833,139.8667,68.05,69,0,15.26,JP,1635413963
Tasiilaq,65.6145,-37.6368,32.16,85,100,8.81,GL,1635413703
Rocha,-34.4833,-54.3333,64.31,74,0,5.86,UY,1635413964
Karīmpur,23.9667,88.6167,85.03,52,22,7.72,IN,1635413964
Badin,24.656,68.8384,94.93,13,0,5.01,PK,1635413964
Fairbanks,64.8378,-147.7164,26.56,87,90,0.0,US,1635413519
Lorengau,-2.0226,147.2712,82.4,77,100,5.88,PG,1635413965
Langenburg,49.2544,9.8458,51.08,96,90,4.61,DE,1635413965
Tazovsky,67.4667,78.7,9.97,94,100,10.78,RU,1635413965
Polson,47.6936,-114.1632,45.48,68,98,4.52,US,1635413965
Kavieng,-2.5744,150.7967,83.79,73,48,9.91,PG,1635413966
Barrow,71.2906,-156.7887,24.82,80,90,5.75,US,1635413966
Westport,41.1415,-73.3579,53.82,83,90,3.0,US,1635413966
Prado,-17.3411,-39.2208,75.67,82,30,11.07,BR,1635413967
Bubaque,11.2833,-15.8333,78.91,83,78,6.91,GW,1635413967
Sémbé,1.6481,14.5806,84.4,69,85,1.01,CG,1635413967
Noumea,-22.2763,166.4572,69.78,81,13,10.58,NC,1635413968
Zion,42.4461,-87.8328,52.05,82,90,9.22,US,1635413968
Bathsheba,13.2167,-59.5167,81.21,74,20,9.22,BB,1635413968
Thompson,55.7435,-97.8558,41.16,100,90,3.44,CA,1635413969
Bluff,-46.6,168.3333,55.13,86,84,4.52,NZ,1635413969
San Patricio,28.017,-97.5169,71.49,33,0,10.4,US,1635413774
Mahébourg,-20.4081,57.7,80.89,61,40,20.71,MU,1635413970
Mahajanga,-15.7167,46.3167,89.62,55,20,14.97,MG,1635413970
Salinas,36.6777,-121.6555,64.38,89,1,3.44,US,1635413940
Honningsvåg,70.9821,25.9704,29.95,69,75,21.85,NO,1635413970
Ziniaré,12.5822,-1.2983,87.84,39,62,7.92,BF,1635413971
Isangel,-19.55,169.2667,75.31,88,5,6.91,VU,1635413971
